date,RGDP0000
1/1/2015,
2/1/2015,
3/1/2015,2978.5
4/1/2015,
5/1/2015,
6/1/2015,3060.3
7/1/2015,
8/1/2015,
9/1/2015,3033.5
10/1/2015,
11/1/2015,
12/1/2015,3001.6
1/1/2016,
2/1/2016,
3/1/2016,2963.6
4/1/2016,
5/1/2016,
6/1/2016,3086.2
7/1/2016,
8/1/2016,
9/1/2016,2985.1
10/1/2016,
11/1/2016,
12/1/2016,2922.9
1/1/2017,
2/1/2017,
3/1/2017,2979.9
4/1/2017,
5/1/2017,
6/1/2017,3349.1
7/1/2017,
8/1/2017,
9/1/2017,2964
10/1/2017,
11/1/2017,
12/1/2017,2999.6
1/1/2018,
2/1/2018,
3/1/2018,3290.6
4/1/2018,
5/1/2018,
6/1/2018,3246.3
7/1/2018,
8/1/2018,
9/1/2018,3024.1
10/1/2018,
11/1/2018,
12/1/2018,3054.7
1/1/2019,
2/1/2019,
3/1/2019,3083.6
4/1/2019,
5/1/2019,
6/1/2019,3364.9
7/1/2019,
8/1/2019,
9/1/2019,3007.9
10/1/2019,
11/1/2019,
12/1/2019,2988.3
1/1/2020,
2/1/2020,
3/1/2020,2858.5
4/1/2020,
5/1/2020,
6/1/2020,2159
7/1/2020,
8/1/2020,
9/1/2020,2306.6
10/1/2020,
11/1/2020,
12/1/2020,2454.4
1/1/2021,
2/1/2021,
3/1/2021,2507.2
4/1/2021,
5/1/2021,
6/1/2021,2934.2
7/1/2021,
8/1/2021,
9/1/2021,2931.4
10/1/2021,
11/1/2021,
12/1/2021,2911.8
1/1/2022,
2/1/2022,
3/1/2022,2963
4/1/2022,
5/1/2022,
6/1/2022,3212.9
7/1/2022,
8/1/2022,
9/1/2022,3187.8
10/1/2022,
11/1/2022,
12/1/2022,3137.8
1/1/2023,
2/1/2023,
3/1/2023,3256
4/1/2023,
5/1/2023,
6/1/2023,3246.2
7/1/2023,
8/1/2023,
9/1/2023,3212.8
10/1/2023,
11/1/2023,
12/1/2023,3116.4
1/1/2024,
2/1/2024,
3/1/2024,3474.072965
4/1/2024,
5/1/2024,
6/1/2024,3599.143858
7/1/2024,
8/1/2024,
9/1/2024,3445.410889
10/1/2024,
11/1/2024,
12/1/2024,3589.903264
1/1/2025,
2/1/2025,
3/1/2025,3713.17247
4/1/2025,
5/1/2025,
6/1/2025,3692.43005
