date,gtrends_disney_world_bs,gtrends_bahamas_flights_us,gtrends_bahamas_cruise_us
2004-01-01,,29,52
2004-02-01,,31,44
2004-03-01,,19,40
2004-04-01,,21,38
2004-05-01,,20,40
2004-06-01,,25,40
2004-07-01,,17,45
2004-08-01,,17,38
2004-09-01,,11,27
2004-10-01,,14,18
2004-11-01,,17,25
2004-12-01,,19,31
2005-01-01,,34,43
2005-02-01,,34,43
2005-03-01,,23,42
2005-04-01,,15,36
2005-05-01,,25,34
2005-06-01,,24,37
2005-07-01,,21,30
2005-08-01,,13,23
2005-09-01,,16,23
2005-10-01,,17,24
2005-11-01,,17,23
2005-12-01,,16,31
2006-01-01,,34,46
2006-02-01,,35,38
2006-03-01,,25,36
2006-04-01,,26,30
2006-05-01,,21,29
2006-06-01,,17,33
2006-07-01,,22,32
2006-08-01,,20,25
2006-09-01,,18,21
2006-10-01,,18,23
2006-11-01,,24,27
2006-12-01,,24,27
2007-01-01,,32,43
2007-02-01,,30,38
2007-03-01,,28,40
2007-04-01,100.0,27,35
2007-05-01,,24,37
2007-06-01,,20,37
2007-07-01,74.0,24,40
2007-08-01,,19,31
2007-09-01,,19,25
2007-10-01,,18,26
2007-11-01,,21,28
2007-12-01,,23,32
2008-01-01,,35,44
2008-02-01,,28,43
2008-03-01,,32,40
2008-04-01,,24,34
2008-05-01,,24,36
2008-06-01,,22,41
2008-07-01,,22,40
2008-08-01,,20,33
2008-09-01,,16,31
2008-10-01,,19,30
2008-11-01,,24,34
2008-12-01,,24,41
2009-01-01,,39,62
2009-02-01,,36,57
2009-03-01,,34,60
2009-04-01,,31,55
2009-05-01,,27,58
2009-06-01,48.0,30,57
2009-07-01,,30,58
2009-08-01,,27,53
2009-09-01,,25,48
2009-10-01,,29,49
2009-11-01,,28,50
2009-12-01,,29,57
2010-01-01,,49,83
2010-02-01,,44,76
2010-03-01,,39,72
2010-04-01,,33,67
2010-05-01,,36,67
2010-06-01,,36,68
2010-07-01,,28,66
2010-08-01,,25,58
2010-09-01,,20,46
2010-10-01,,22,48
2010-11-01,,24,44
2010-12-01,,25,46
2011-01-01,,48,87
2011-02-01,,47,83
2011-03-01,25.0,36,74
2011-04-01,29.0,29,65
2011-05-01,34.0,31,66
2011-06-01,37.0,37,72
2011-07-01,35.0,41,73
2011-08-01,,30,63
2011-09-01,,27,53
2011-10-01,29.0,30,52
2011-11-01,,26,55
2011-12-01,,27,60
2012-01-01,,47,88
2012-02-01,34.0,42,74
2012-03-01,,38,69
2012-04-01,32.0,30,64
2012-05-01,,31,68
2012-06-01,28.0,35,66
2012-07-01,34.0,35,70
2012-08-01,25.0,28,61
2012-09-01,,22,50
2012-10-01,,25,50
