date,stayover_1_day,stayover_2_3_days,stayover_4_7_days,stayover_8_14_days,stayover_15_21_days,stayover_22_28_days,stayover_29_182_days,stayover_total
2010-01-01,,,,,,,,48336
2010-02-01,,,,,,,,48585
2010-03-01,,,,,,,,51570
2010-04-01,,,,,,,,41357
2010-05-01,,,,,,,,46813
2010-06-01,,,,,,,,35179
2010-07-01,,,,,,,,51499
2010-08-01,,,,,,,,41882
2010-09-01,,,,,,,,30065
2010-10-01,,,,,,,,39030
2010-11-01,,,,,,,,44838
2010-12-01,,,,,,,,53026
2011-01-01,,,,,,,,52194
2011-02-01,,,,,,,,51793
2011-03-01,,,,,,,,53257
2011-04-01,,,,,,,,51442
2011-05-01,,,,,,,,41699
2011-06-01,,,,,,,,38490
2011-07-01,,,,,,,,58237
2011-08-01,,,,,,,,49961
2011-09-01,,,,,,,,29144
2011-10-01,,,,,,,,39358
2011-11-01,,,,,,,,47208
2011-12-01,,,,,,,,54941
2012-01-01,,,,,,,,52619
2012-02-01,,,,,,,,54056
2012-03-01,,,,,,,,54164
2012-04-01,,,,,,,,47979
2012-05-01,,,,,,,,37935
2012-06-01,,,,,,,,36656
2012-07-01,,,,,,,,51253
2012-08-01,,,,,,,,43191
2012-09-01,,,,,,,,27230
2012-10-01,,,,,,,,36071
2012-11-01,,,,,,,,42975
2012-12-01,,,,,,,,52174
2013-01-01,,,,,,,,48288
2013-02-01,,,,,,,,48870
2013-03-01,,,,,,,,53304
2013-04-01,,,,,,,,42234
2013-05-01,,,,,,,,37906
2013-06-01,,,,,,,,33691
2013-07-01,,,,,,,,47935
2013-08-01,,,,,,,,40667
2013-09-01,,,,,,,,26970
2013-10-01,,,,,,,,34938
2013-11-01,,,,,,,,42690
2013-12-01,,,,,,,,51026
2014-01-01,,,,,,,,50122
2014-02-01,,,,,,,,48143
2014-03-01,,,,,,,,50321
2014-04-01,,,,,,,,43262
2014-05-01,,,,,,,,38437
2014-06-01,,,,,,,,34130
2014-07-01,,,,,,,,47315
2014-08-01,,,,,,,,38655
2014-09-01,,,,,,,,26329
2014-10-01,,,,,,,,35792
2014-11-01,,,,,,,,46002
2014-12-01,,,,,,,,61091
2015-01-01,6475.0,5509.0,15498.0,17906.0,4181.0,1308.0,5248.0,56125
2015-02-01,6110.0,5532.0,19797.0,19104.0,3575.0,1132.0,2539.0,57789
2015-03-01,5273.0,5599.0,20651.0,20063.0,3127.0,740.0,1932.0,57385
2015-04-01,4354.0,4265.0,19873.0,18439.0,2594.0,532.0,1659.0,51716
2015-05-01,3861.0,4317.0,15803.0,12846.0,2009.0,441.0,1716.0,40993
2015-06-01,4056.0,4408.0,14943.0,11816.0,1849.0,440.0,2175.0,39687
2015-07-01,4575.0,3769.0,15909.0,18708.0,5415.0,1662.0,3926.0,53964
2015-08-01,4146.0,3433.0,14332.0,14474.0,3296.0,664.0,2582.0,42927
2015-09-01,3746.0,3562.0,11875.0,9441.0,1411.0,366.0,1752.0,32153
2015-10-01,4052.0,4510.0,15412.0,13218.0,2087.0,474.0,1935.0,41688
2015-11-01,5252.0,5632.0,19133.0,17041.0,2736.0,645.0,2548.0,52987
2015-12-01,6527.0,5338.0,17796.0,22734.0,6267.0,1659.0,4137.0,64458
2016-01-01,7036.0,6097.0,18239.0,19886.0,4182.0,1427.0,5471.0,62338
2016-02-01,5801.0,5828.0,22082.0,19983.0,3721.0,996.0,2558.0,60969
2016-03-01,5304.0,5768.0,21989.0,21352.0,3533.0,602.0,2053.0,60601
2016-04-01,4703.0,4925.0,19680.0,15477.0,2162.0,496.0,1805.0,49248
2016-05-01,4276.0,5115.0,18440.0,13052.0,2005.0,406.0,1641.0,44935
2016-06-01,4117.0,4761.0,16249.0,12525.0,2082.0,528.0,2303.0,42565
2016-07-01,4567.0,4153.0,17757.0,19596.0,5115.0,1534.0,3948.0,56670
2016-08-01,4570.0,3811.0,15024.0,14678.0,3221.0,825.0,2678.0,44807
