date,gdp_business_other_services,gdp
3/1/2010,1102.008891,3207.820273
6/1/2010,1063.023942,2980.554459
9/1/2010,1089.436079,3050.761161
12/1/2010,984.9297642,3041.366207
3/1/2011,1062.654529,3153.988424
6/1/2011,1046.300605,3020.385904
9/1/2011,1038.594136,3052.829644
12/1/2011,1036.305925,3054.630482
3/1/2012,1078.802238,3071.027712
6/1/2012,1061.684365,2915.891761
9/1/2012,1056.633017,2910.648772
12/1/2012,1050.249757,3015.838443
3/1/2013,1050.549434,3066.562176
6/1/2013,1048.699485,2949.098863
9/1/2013,1054.250516,2907.350071
12/1/2013,1056.115416,3034.08681
3/1/2014,1052.279754,3115.429852
6/1/2014,1059.104662,2957.67898
9/1/2014,1058.317832,2938.010532
12/1/2014,1057.726483,3069.424599
3/1/2015,1021.348569,3019.574832
6/1/2015,1040.880853,2912.661372
9/1/2015,1029.400933,2911.886865
12/1/2015,1031.477726,3114.80844
3/1/2016,1031.018318,3114.578225
6/1/2016,1020.600734,2940.758078
9/1/2016,1028.188021,2942.587467
12/1/2016,1018.840413,3127.978431
3/1/2017,1038.91448,3194.887345
6/1/2017,1017.069171,2961.268498
9/1/2017,1024.774184,2936.975504
12/1/2017,1036.524543,3143.952361
3/1/2018,1021.700639,3205.585805
6/1/2018,1020.142175,2933.566159
9/1/2018,1034.240012,2957.246634
12/1/2018,1041.394508,3128.795747
3/1/2019,1066.533736,3181.410571
6/1/2019,1045.919821,2986.964667
9/1/2019,1066.321213,2941.715034
12/1/2019,1069.561713,3114.149188
3/1/2020,1054.948092,3051.187773
6/1/2020,967.0436524,2217.120708
9/1/2020,1031.533008,2407.790115
12/1/2020,1033.628325,2531.595708
3/1/2021,994.0677321,2498.862121
6/1/2021,997.2126385,2597.373668
9/1/2021,1040.415114,2845.149272
12/1/2021,1047.97946,3184.608326
3/1/2022,1090.15127,3355.751143
6/1/2022,1092.980354,3098.728304
9/1/2022,1121.71455,3089.529309
12/1/2022,1120.973171,3186.755809
3/1/2023,1121.943601,3413.573303
6/1/2023,1127.404836,3137.7767
9/1/2023,1114.433153,3089.64066
12/1/2023,1135.997092,3280.07384
3/1/2024,1153.193239,3476.828485
6/1/2024,1133.809498,3221.272818
9/1/2024,1146.165265,3204.854896
12/1/2024,1141.384017,3473.549218
3/1/2025,1193.617541,3568.738687
6/1/2025,1170.681207,3292.151872
9/1/2025,1176.810564,3294.263611
12/1/2025,1203.190722,3581.494414
