date,sp500
3/1/2010,1169.43
6/1/2010,1030.71
9/1/2010,1141.20
12/1/2010,1257.64
3/1/2011,1325.83
6/1/2011,1320.64
9/1/2011,1131.42
12/1/2011,1257.60
3/1/2012,1408.47
6/1/2012,1362.16
9/1/2012,1440.67
12/1/2012,1426.19
3/1/2013,1569.19
6/1/2013,1606.28
9/1/2013,1681.55
12/1/2013,1848.36
3/1/2014,1872.34
6/1/2014,1960.23
9/1/2014,1972.29
12/1/2014,2058.90
3/1/2015,2067.89
6/1/2015,2063.11
9/1/2015,1920.03
12/1/2015,2043.94
3/1/2016,2059.74
6/1/2016,2098.86
9/1/2016,2168.27
12/1/2016,2238.83
3/1/2017,2362.72
6/1/2017,2423.41
9/1/2017,2519.36
12/1/2017,2673.61
3/1/2018,2640.87
6/1/2018,2718.37
9/1/2018,2913.98
12/1/2018,2506.85
3/1/2019,2834.40
6/1/2019,2941.76
9/1/2019,2976.74
12/1/2019,3230.78
3/1/2020,2584.59
6/1/2020,3100.29
9/1/2020,3363.46
12/1/2020,3756.07
3/1/2021,3972.89
6/1/2021,4297.50
9/1/2021,4307.54
12/1/2021,4766.18
3/1/2022,4530.41
6/1/2022,3785.38
9/1/2022,3585.62
12/1/2022,3839.50
3/1/2023,4109.31
6/1/2023,4450.38
9/1/2023,4288.05
12/1/2023,4769.83
3/1/2024,5254.35
6/1/2024,5460.48
9/1/2024,5762.48
12/1/2024,5881.63
3/1/2025,5611.85
6/1/2025,5460.48
9/1/2025,5618.26
12/1/2025,5881.63
